2025-11-05 19:40:04,285 | INFO | src.utils | Loaded config from configs/train.yaml
2025-11-05 19:40:04,286 | INFO | src.utils | Set python and numpy seed to 42
2025-11-05 19:40:04,373 | INFO | src.utils | Configured torch.backends.cudnn for deterministic behavior (may be slower).
2025-11-05 19:40:04,373 | WARNING | src.utils | Processed train/test files not found and model_init_args.n_users/n_items not set. Preprocess first or fill these in config.
2025-11-05 19:40:04,373 | INFO | src.utils | Preparing dataloaders with model_type=mf, batch_size=1024, num_workers=4
2025-11-05 19:42:08,120 | INFO | __main__ | Starting preprocessing with config: configs/train.yaml
2025-11-05 19:42:08,121 | INFO | __main__ | Loading ratings from data/ml-100k/u.data
2025-11-05 19:42:08,665 | INFO | __main__ | Rating range in file: min=1, max=5
2025-11-05 19:42:08,665 | INFO | __main__ | Filtering users with < 5 interactions and items with < 5 interactions
2025-11-05 19:42:08,704 | INFO | __main__ | After filtering: interactions=99287, users=943, items=1349
2025-11-05 19:42:08,708 | INFO | __main__ | Built id mappings: n_users=943, n_items=1349
2025-11-05 19:42:08,731 | INFO | __main__ | Performing leave-one-out split per user (time-based)
2025-11-05 19:42:09,581 | INFO | __main__ | Split sizes: train=97401, val=943, test=943
2025-11-05 19:42:09,794 | INFO | __main__ | Saved processed splits to data/ml-100k\processed: train.csv / val.csv / test.csv
2025-11-05 19:42:09,795 | INFO | __main__ | Preprocessing finished. Metadata:
2025-11-05 19:42:09,795 | INFO | __main__ | {
  "n_users": 943,
  "n_items": 1349,
  "user2idx_path": "data/ml-100k\\processed\\user2idx.json",
  "item2idx_path": "data/ml-100k\\processed\\item2idx.json",
  "processed_dir": "data/ml-100k\\processed",
  "train_path": "data/ml-100k\\processed\\train.csv",
  "val_path": "data/ml-100k\\processed\\val.csv",
  "test_path": "data/ml-100k\\processed\\test.csv"
}
2025-11-05 19:42:45,900 | INFO | src.utils | Loaded config from configs/train.yaml
2025-11-05 19:42:45,900 | INFO | src.utils | Set python and numpy seed to 42
2025-11-05 19:42:45,923 | INFO | src.utils | Configured torch.backends.cudnn for deterministic behavior (may be slower).
2025-11-05 19:42:46,036 | INFO | src.utils | Inferred n_users=943, n_items=1349 from processed files.
2025-11-05 19:42:46,036 | INFO | src.utils | Preparing dataloaders with model_type=mf, batch_size=1024, num_workers=4
2025-11-05 19:42:46,115 | INFO | src.dataset | Loaded interactions: train=97401 val=943 test=943
2025-11-05 19:42:46,120 | INFO | src.utils | Building model from config. model_cfg keys: ['embedding_dim', 'ncf_hidden', 'dropout', 'clamp_preds', 'min_rating', 'max_rating', 'model_init_args']
2025-11-05 19:43:00,948 | INFO | src.utils | Loaded config from configs/train.yaml
2025-11-05 19:43:00,949 | INFO | src.utils | Set python and numpy seed to 42
2025-11-05 19:43:00,975 | INFO | src.utils | Configured torch.backends.cudnn for deterministic behavior (may be slower).
2025-11-05 19:43:01,076 | INFO | src.utils | Inferred n_users=943, n_items=1349 from processed files.
2025-11-05 19:43:01,077 | INFO | src.utils | Preparing dataloaders with model_type=mf, batch_size=1024, num_workers=4
2025-11-05 19:43:01,165 | INFO | src.dataset | Loaded interactions: train=97401 val=943 test=943
2025-11-05 19:43:01,171 | INFO | src.utils | Building model from config. model_cfg keys: ['embedding_dim', 'ncf_hidden', 'dropout', 'clamp_preds', 'min_rating', 'max_rating', 'model_init_args']
2025-11-05 19:47:58,330 | INFO | src.utils | Loaded config from configs/train.yaml
